sci_name|genus|subgenus|specific_epithet|subspecies|original_name_combination
Sminthopsis_crassicaudata|Sminthopsis|NA|crassicaudata|_S. c. centralis_ Thomas, 1902; _S. c. crassicaudata_ (Gould, 1844)|Phascogale crassicaudata
Sminthopsis_fuliginosa|Sminthopsis|NA|fuliginosa|_S. f. aitkeni_ Kitchener, Stoddart & Henry, 1984; _S. f. fuliginosa_ (Gould, 1852) (synonyms: _boullangerensis_ Crowther, Dickman & Lynam, 1999, _caniventris_ Baverstock, Adams & Archer, 1984, _griseoventris_ Kitchener, Stoddart & Henry, 1984)|Antechinus fuliginosus
Sminthopsis_leucopus|Sminthopsis|NA|leucopus|_S. l. ferruginifrons_ (Gould, 1854) (synonyms: _mitchelli_ (Krefft, 1867)); _S. l. janetzkiae_ Lavery, Collett, Fisher, Hoskin & Rowland, 2022; _S. l. leucopus_ (Gray, 1842) (synonyms: _leucogenys_ (Higgins & Petterd, 1883))|Phascogale leucopus
Sminthopsis_murina|Sminthopsis|NA|murina|_S. m. albipes_ (Waterhouse, 1842); _S. m. murina_ (Waterhouse, 1838); _S. m. tatei_ Troughton, 1965|Phascogale murina
Sminthopsis_virginiae|Sminthopsis|NA|virginiae|_S. v. rufigenis_ Thomas, 1922 (synonyms: _rona_ (Tate & Archbold, 1936)); _S. v. virginiae_ (Tarragon, 1847) (synonyms: _lumholtzi_ Iredale & Troughton, 1934)|Phascogale Virginiæ
Myrmecobius_fasciatus|Myrmecobius|NA|fasciatus|_M. f. fasciatus_ Waterhouse, 1836 (synonyms: _diemenensis_ Gray, 1843, _diemenensis_ Lesson, 1842); _M. f. rufus_ Wood Jones, 1923|Myrmecobius fasciatus
Chaeropus_ecaudatus|Chaeropus|NA|ecaudatus|_C. e. ecaudatus_ (Ogilby, 1838) (recently extinct; synonyms: _castanotis_ Gray, 1842); _C. e. occidentalis_ Gould, 1845 (recently extinct)|Perameles ecaudatus
Echymipera_kalubu|Echymipera|NA|kalubu|_E. k. cockerellii_ (Ramsay, 1877); _E. k. kalubu_ (Fischer, 1829); _E. k. oriomo_ Tate & Archbold, 1936; _E. k. philipi_ Troughton, 1945|Perameles? Kalubu
Echymipera_rufescens|Echymipera|NA|rufescens|_E. r. australis_ Tate, 1948; _E. r. rufescens_ (Peters & Doria, 1875) (synonyms: _aruensis_ (Peters & Doria, 1875), _gargantua_ Thomas, 1914, _keiensis_ (Cohn, 1910), _welsiana_ (Heude, 1897))|Perameles rufescens
Microperoryctes_longicauda|Microperoryctes|Ornoryctes|longicauda|_M. l. dorsalis_ (Thomas, 1922); _M. l. longicauda_ (Peters & Doria, 1876)|Perameles longicauda
