sci_name|genus|subgenus|specific_epithet|subspecies|original_name_combination
Myotis_barquezi|Myotis|Pizonyx|barquezi|NA|Myotis barquezi
Myotis_bartelsii|Myotis|Chrysopteron|bartelsii|NA|Chrysopteron Bartelsii
Myotis_bechsteinii|Myotis|Myotis|bechsteinii|NA|Vespertilio Bechsteinii
Myotis_blythii|Myotis|Myotis|blythii|_M. b. ancilla_ Thomas, 1910; _M. b. blythii_ (Tomes, 1857) (synonyms: _africanus_ (Dobson, 1875), _dobsonii_ (Trouessart, 1878), _murinoides_ (Dobson, 1873)); _M. b. lesviacus_ Iliopoulou-Georgudaki, 1984; _M. b. longicaninus_ Popov, 2004 (fossil); _M. b. omari_ Thomas, 1906 (synonyms: _risorius_ Cheesman, 1921); _M. b. oxygnathus_ (Monticelli, 1885)|Vespertilio Blythii
Myotis_bocagii|Myotis|Chrysopteron|bocagii|_M. b. bocagii_ (Peters, 1870) (synonyms: _hildegardeae_ Thomas, 1904); _M. b. cupreolus_ Thomas, 1904; _M. b. dogalensis_ (Monticelli, 1887)|Vespertilio Bocagii
Myotis_bombinus|Myotis|Myotis|bombinus|_M. b. amurensis_ Огнёв, 1927; _M. b. bombinus_ Thomas, 1906|Myotis nattereri bombinus
Myotis_borneoensis|Myotis|Myotis|borneoensis|NA|Myotis montivagus borneoensis
Myotis_brandtii|Myotis|Pizonyx|brandtii|NA|Vespertilio Brandtii
Myotis_bucharensis|Myotis|Myotis|bucharensis|NA|Myotis longicaudatus bucharensis
Myotis_californicus|Myotis|Pizonyx|californicus|_M. c. californicus_ (Audubon & Bachman, 1842) (synonyms: _exilis_ (Allen, 1866), _nitidus_ (Allen, 1862), _oregonensis_ (Allen, 1864), _quercinus_ Grinnell, 1914, _tenuidorsalis_ (Allen, 1866)); _M. c. caurinus_ Miller, 1897; _M. c. mexicanus_ (Saussure, 1860) (synonyms: _agilis_ (Allen, 1866)); _M. c. stephensi_ Dalquest, 1946 (synonyms: _pallidus_ Stephens, 1900)|Vespertilio californicus
Myotis_capaccinii|Myotis|Myotis|capaccinii|NA|Vespertilio Capaccinii
Myotis_carteri|Myotis|Pizonyx|carteri|NA|Myotis nigricans carteri
Myotis_caucensis|Myotis|Pizonyx|caucensis|NA|Myotis caucensis
Myotis_chiloensis|Myotis|Pizonyx|chiloensis|NA|Vespertilio Chiloensis
Myotis_chinensis|Myotis|Myotis|chinensis|NA|Vespertilio chinensis
Myotis_ciliolabrum|Myotis|Pizonyx|ciliolabrum|_M. c. ciliolabrum_ (Merriam, 1886) (synonyms: _henshawii_ (Allen, 1894)); _M. c. melanorhinus_ (Merriam, 1890) (synonyms: _orinomus_ Elliot, 1903)|Vespertilio ciliolabrum
Myotis_clydejonesi|Myotis|Pizonyx|clydejonesi|NA|Myotis clydejonesi
Myotis_cobanensis|Myotis|Pizonyx|cobanensis|NA|Myotis velifer cobanensis
Myotis_crypticus|Myotis|Myotis|crypticus|NA|Myotis crypticus
Myotis_dasycneme|Myotis|Myotis|dasycneme|NA|Vespertilio dasycneme
Myotis_daubentonii|Myotis|Myotis|daubentonii|_M. d. daubentonii_ (Kuhl, 1817) (synonyms: _aedilis_ (Jenyns, 1839), _albus_ (Fitzinger, 1871), _capucinellus_ (Fitzinger, 1871), _lanatus_ (Crespon, 1844), _minutellus_ (Fitzinger, 1871), _staufferi_ (Fatio, 1890)); _M. d. nathalinae_ Tupinier, 1977; _M. d. volgensis_ (Eversmann, 1840)|Vespertilio daubentonii
Myotis_davidii|Myotis|Myotis|davidii|_M. d. davidii_ (Peters, 1869) (synonyms: _mongolicus_ Крускоп & Борисенко, 1996, _przewalskii_ Бобринский, 1926); _M. d. transcaspicus_ Огнёв & Гептнер, 1928 (synonyms: _aurascens_ Кузякин, 1935, _bulgaricus_ Heinrich, 1936, _caucasicus_ Tsytsulina, 2000, _hajastanicus_ Аргиропуло, 1939, _pamirensis_ Кузякин, 1935, _popovi_ Стрелков, 1983, _sogdianus_ Кузякин, 1934)|Vespertilio Davidii
Myotis_dieteri|Myotis|incertae sedis|dieteri|NA|Myotis dieteri
Myotis_diminutus|Myotis|Pizonyx|diminutus|NA|Myotis diminutus
Myotis_dominicensis|Myotis|Pizonyx|dominicensis|NA|Myotis dominicensis
Myotis_elegans|Myotis|Pizonyx|elegans|NA|Myotis elegans
Myotis_emarginatus|Myotis|Chrysopteron|emarginatus|_M. e. desertorum_ (Dobson, 1875) (synonyms: _kuzyakini_ Россолимо & Павлинов, 1979, _lanceus_ Thomas, 1920, _saturatus_ Кузякин, 1934, _turcomanicus_ Бобринский, 1925); _M. e. emarginatus_ (Geoffroy Saint-Hilaire, 1806) (synonyms: _budapestiensis_ Margó, 1880, _ciliatus_ (Blasius, 1853), _neglectus_ (Fatio, 1890), _rufescens_ (Crespon, 1844), _schrankii_ (Kolenati, 1856))|Vespertilio emarginatus
Myotis_escalerai|Myotis|Myotis|escalerai|NA|Myotis Escalerai
Myotis_evotis|Myotis|Pizonyx|evotis|_M. e. chrysonotus_ (Allen, 1896); _M. e. evotis_ (Allen, 1864); _M. e. jonesorum_ Manning, 1993; _M. e. micronyx_ Nelson & Goldman, 1909; _M. e. milleri_ Elliot, 1903; _M. e. pacificus_ Dalquest, 1943|Vespertilio evotis
Myotis_extremus|Myotis|Pizonyx|extremus|NA|Myotis nigricans extremus
Myotis_federatus|Myotis|Myotis|federatus|NA|Myotis peytoni federatus
Myotis_fimbriatus|Myotis|Myotis|fimbriatus|NA|Vespertilio fimbriatus
Myotis_findleyi|Myotis|Pizonyx|findleyi|NA|Myotis findleyi
Myotis_formosus|Myotis|Chrysopteron|formosus|_M. f. flavus_ Shamel, 1944; _M. f. formosus_ (Hodgson, 1835) (synonyms: _andersoni_ (Trouessart, 1897), _auratus_ (Dobson, 1871), _dobsoni_ (Anderson, 1881), _pallidus_ (Blyth, 1863))|Vespertilio formosa
